symbol,mse_naive_heston,r2_naive_heston,mse_generic_heston,r2_generic_heston,mse_kalman_heston,r2_kalman_heston,mse_particle_filter,r2_particle_filter,mse_rolling_vol_(20),r2_rolling_vol_(20),mse_rolling_vol_(50),r2_rolling_vol_(50),mse_rolling_vol_(100),r2_rolling_vol_(100)
BNB,0.020703403257760093,-385.7066820565709,0.021586407458302776,-402.1997977237204,6.9826945032232e-05,-0.3042564014899263,5.861106868256621e-05,-0.09476164956259159,4.4272294748622765e-05,0.17307059818960502,4.894055247109126e-05,0.0858756698973977,5.14612313905153e-05,0.03879377538908935
BTC,0.017587668990238385,-548.0155699069439,0.026699369686411286,-832.4458462162925,4.56015552952706e-05,-0.4234952842796633,3.949077983330339e-05,-0.2327417014889388,2.920053567427436e-05,0.08848550375805553,3.204963094181487e-05,-0.00045093448083077803,3.322215018845036e-05,-0.03705191681734732
TRX,0.019438473324635712,-328.1192433801215,0.014851554149035611,-250.45659244518401,7.419866652703023e-05,-0.2562822490920995,6.292166164407392e-05,-0.0653475366438383,4.906539822224511e-05,0.16926591510171884,5.397629961820212e-05,0.0861186601112065,5.6849969411203794e-05,0.037464098397963386
XRP,0.017473388240759558,-207.16627574978014,0.017345867596792745,-205.64707997789984,0.0001079611909025363,-0.2861775132580182,8.86044876375138e-05,-0.055574680312655556,7.124400287209473e-05,0.15125471367437926,7.954611105658481e-05,0.0523498949656136,8.456421887485514e-05,-0.0074319138229395065
ETH,0.01930861281700603,-403.4029196079439,0.019295583908731692,-403.1300399041877,6.820532881297754e-05,-0.4285041792590478,5.6978230426621234e-05,-0.19336189279871285,4.2267725719662804e-05,0.11474390989844019,4.633569285921825e-05,0.029544325030564922,4.813965244326533e-05,-0.008237840460582957
