symbol,target,n_states,mse_hmm_prior,r2_hmm_prior,mse_garch_11,r2_garch_11,mse_garch_22,r2_garch_22,mse_lagged_obs,r2_lagged_obs
BTC,rolling_vol_20_lag20,3,1.3824619020694931e-05,0.1342436473923283,1.3239820951021455e-05,0.1708661859993318,1.0707138425243315e-05,0.3294735214021014,1.3358467977730902e-05,0.1634360053239765
ETH,rolling_vol_20_lag20,3,1.8637850802260686e-05,0.1782378257496955,1.9696665196654875e-05,0.13155360083040657,1.8805930282441182e-05,0.17082702712568087,1.6844230550182657e-05,0.2573204031222024
