symbol,target,mse_naive_heston_prior,r2_naive_heston_prior,mse_generic_heston_prior,r2_generic_heston_prior,mse_kalman_heston_prior,r2_kalman_heston_prior,mse_particle_heston_prior,r2_particle_heston_prior,mse_rolling_20,r2_rolling_20,mse_rolling_50,r2_rolling_50,mse_rolling_100,r2_rolling_100
BTC,abs_log_return,0.023061961437554675,-717.4701109450026,0.017986743366062208,-559.3572591492574,4.569501932879882e-05,-0.4235782023871617,3.912594139522489e-05,-0.21892578526640571,3.365613392012385e-05,-0.04851993344306016,3.422659476937729e-05,-0.0662920154388904,3.446270919010259e-05,-0.07364790121268139
ETH,abs_log_return,0.021475025681857197,-447.81449509457997,0.01654379462191861,-344.7548754625142,6.835319264095858e-05,-0.42853862424816946,5.652560023140273e-05,-0.1813494010956216,4.8452172644742594e-05,-0.012619855451783124,4.933911854039806e-05,-0.031156465383343157,4.98353890011069e-05,-0.0415282050754433
