symbol,target,mse_naive_heston_prior,r2_naive_heston_prior,mse_generic_heston_prior,r2_generic_heston_prior,mse_kalman_heston_prior,r2_kalman_heston_prior,mse_particle_heston_prior,r2_particle_heston_prior,mse_rolling_20,r2_rolling_20,mse_rolling_50,r2_rolling_50,mse_rolling_100,r2_rolling_100
BTC,inst_sigma_proxy,0.016821780229175534,-332.62957475156935,0.020455616402762597,-404.7001404582848,6.061954830293612e-05,-0.20227906002859664,5.160958657997058e-05,-0.023582771216824616,4.536836785590731e-05,0.10020050977202799,4.6092332803785864e-05,0.08584197491988166,4.6394377969827965e-05,0.07985145554978446
ETH,inst_sigma_proxy,0.022887279244271187,-303.51414729388654,0.021765552697048936,-288.5896296446427,9.082992181205035e-05,-0.20848773216633432,7.641773919972241e-05,-0.016734337103645025,6.565726052517072e-05,0.12643331306059802,6.677625268028041e-05,0.11154517636662775,6.741171911186533e-05,0.10309032612065949
