symbol,target,mse_naive_da_prior,r2_naive_da_prior,mse_kalman_da_prior,r2_kalman_da_prior,mse_particle_filter_prior,r2_particle_filter_prior,mse_garch_11,r2_garch_11,mse_garch_22,r2_garch_22
BTC,rolling_vol_20_lag20,0.018557793574069153,-1161.1678436911147,1.370762416519423e-05,0.14157036209025398,1.4288911189542992e-05,0.10516770005197285,1.3239820951021455e-05,0.1708661859993318,1.0707138425243315e-05,0.3294735214021014
ETH,rolling_vol_20_lag20,0.022953676472461892,-1011.0514047016843,1.7294690454365927e-05,0.23745915870075196,1.7253348800294246e-05,0.23928195511099715,1.9696665196654875e-05,0.13155360083040657,1.8805930282441182e-05,0.17082702712568087
