symbol,target,mse_naive_da_prior,r2_naive_da_prior,mse_kalman_da_prior,r2_kalman_da_prior,mse_particle_filter_prior,r2_particle_filter_prior,mse_garch_11,r2_garch_11,mse_garch_22,r2_garch_22
BTC,rolling_vol_100,0.0188428032589013,-1661.0185039393832,9.187820599221601e-08,0.9918959362696906,1.8335962455570052e-06,0.8382687094379173,1.3256229357153542e-05,-0.16925800165353544,1.2076553424532946e-05,-0.06520537202470478
ETH,rolling_vol_100,0.015384712420413687,-929.0914197603764,1.131176952989311e-07,0.9931614062749068,1.3545523360575517e-06,0.9181097786584673,1.8521005110445817e-05,-0.11969775370689262,1.7995610001652353e-05,-0.08793469767313344
